from-to,score,userA_id,userB_id,has_common_skills,n_common_skills,has_common_schools,n_common_schools,has_common_industry,n_common_industry,has_common_company,n_common_company
219086-6272758,1.0,219086,6272758,0,-1,1,-2,1,1,0,0
6209858-2181137,3.0,6209858,2181137,0,-1,0,0,1,1,0,0
6284962-6336165,1.0,6284962,6336165,0,-1,0,0,1,1,0,0
1825440-6283652,2.0,1825440,6283652,0,0,0,0,0,0,1,-2
53497-38761,0.0,53497,38761,0,-1,1,-2,1,1,0,0
4426871-6335891,1.0,4426871,6335891,1,5,0,-1,0,0,1,-2
6288584-2373698,1.0,6288584,2373698,0,-1,0,0,1,1,1,-2
6291132-6288954,3.0,6291132,6288954,1,2,0,-1,0,0,0,0
6283329-39774,2.0,6283329,39774,1,2,0,-1,1,1,0,0
6338274-6338593,1.0,6338274,6338593,0,-1,0,0,0,-1,0,-1
6277543-39742,1.0,6277543,39742,0,-1,0,0,1,1,0,0
6322913-71077,0.0,6322913,71077,0,-1,0,0,1,1,1,-2
6277096-18276,0.0,6277096,18276,0,-1,0,-1,0,0,0,0
155079-4353213,0.0,155079,4353213,0,-1,1,-2,1,1,1,-2
63471-6275140,3.0,63471,6275140,1,2,0,0,0,0,0,0
6269811-866163,0.0,6269811,866163,0,0,0,0,1,1,1,-2
743381-1608199,2.0,743381,1608199,0,-1,0,-1,1,1,1,-2
1784632-28821,1.0,1784632,28821,1,3,1,-2,1,1,1,-2
6285387-6299378,1.0,6285387,6299378,1,1,0,0,0,0,1,-2
6340842-6338715,0.0,6340842,6338715,0,-1,0,-1,0,0,0,0
3522655-6273010,1.0,3522655,6273010,0,-1,0,-1,0,0,0,0
185856-2181267,1.0,185856,2181267,0,-1,0,0,1,1,1,-2
29495-995920,0.0,29495,995920,0,-1,0,-1,1,1,1,-2
6324376-1170963,0.0,6324376,1170963,0,-1,0,-1,0,0,0,0
1292849-6284375,3.0,1292849,6284375,1,2,0,0,1,1,1,-2
155074-6283900,3.0,155074,6283900,0,0,0,0,1,1,0,0
4483086-6274018,1.0,4483086,6274018,0,0,0,0,1,1,1,-2
67906-1020425,2.0,67906,1020425,1,1,1,-2,1,1,1,-2
6282126-278877,2.0,6282126,278877,0,0,0,-1,0,0,1,-2
6276807-6336209,2.0,6276807,6336209,1,1,0,0,0,0,0,0
6282994-6337455,1.0,6282994,6337455,0,-1,0,0,0,0,0,0
25515-1213531,0.0,25515,1213531,0,0,0,0,0,0,1,-2
6288954-67894,0.0,6288954,67894,0,-1,0,-1,0,0,0,0
916467-56744,2.0,916467,56744,0,-1,1,-2,1,1,1,-2
6334637-6337756,3.0,6334637,6337756,0,-1,0,-1,0,0,0,0
6280979-153983,0.0,6280979,153983,0,0,0,0,1,1,1,-2
4514640-4811010,0.0,4514640,4811010,0,0,1,-2,1,1,0,0
6300265-6275226,3.0,6300265,6275226,0,-1,0,0,1,1,1,-2
6270777-28901,1.0,6270777,28901,0,-1,0,-1,1,1,0,0
6288928-219086,0.0,6288928,219086,0,-1,0,0,1,1,0,0
6286411-6292980,0.0,6286411,6292980,0,-1,0,0,0,0,0,0
1385425-1248933,1.0,1385425,1248933,0,0,0,0,1,1,0,0
391-18172,2.0,391,18172,0,0,0,-1,1,1,1,-2
6290481-6292851,1.0,6290481,6292851,0,0,1,1,1,3,0,0
6294525-6305377,0.0,6294525,6305377,0,-1,0,-1,0,-1,0,-1
35244-2451968,0.0,35244,2451968,0,0,0,0,1,1,1,-2
1125785-1740250,0.0,1125785,1740250,0,0,0,-1,1,1,0,0
6286465-6292502,2.0,6286465,6292502,1,2,0,-1,0,-1,0,-1
6294156-6286059,1.0,6294156,6286059,1,1,0,0,0,0,1,-2
6286287-6283923,3.0,6286287,6283923,0,-1,0,-1,0,-1,0,-1
6289382-6297240,1.0,6289382,6297240,0,0,0,0,1,1,1,-2
5058542-4641229,2.0,5058542,4641229,1,1,0,0,0,0,1,-2
37386-112296,2.0,37386,112296,0,-1,1,-2,1,1,1,-2
6337771-6333392,2.0,6337771,6333392,0,0,0,0,0,0,1,-2
6269093-153921,2.0,6269093,153921,0,0,1,-2,1,1,1,-2
139400-49413,0.0,139400,49413,0,0,0,0,1,1,1,-2
4551-3449537,0.0,4551,3449537,0,-1,0,0,1,1,1,-2
1912141-6272457,2.0,1912141,6272457,1,2,0,-1,0,0,1,-2
6343055-1040499,0.0,6343055,1040499,0,-1,0,0,0,-1,0,-1
1003718-6292310,2.0,1003718,6292310,0,-1,0,0,0,0,1,-2
854179-50369,2.0,854179,50369,0,-1,1,-2,1,1,1,-2
223590-827969,0.0,223590,827969,0,0,1,-2,1,1,0,0
19010-40976,0.0,19010,40976,0,-1,0,0,1,1,1,-2
3591107-111184,2.0,3591107,111184,0,0,0,0,1,1,0,0
911825-26004,1.0,911825,26004,0,-1,1,-2,1,1,1,-2
6284062-2071693,1.0,6284062,2071693,0,0,0,0,1,2,1,-2
6329265-2641549,0.0,6329265,2641549,1,3,0,0,1,1,1,-2
89021-2897646,0.0,89021,2897646,1,1,0,0,1,2,1,-2
34941-1171036,0.0,34941,1171036,1,1,0,0,1,1,1,-2
6304706-1170963,2.0,6304706,1170963,0,-1,0,-1,0,0,1,-2
219086-26897,1.0,219086,26897,0,-1,0,0,1,1,0,0
18120-2694371,0.0,18120,2694371,0,-1,0,0,1,1,1,-2
168425-8181,0.0,168425,8181,1,1,0,0,1,1,1,-2
1112998-801634,0.0,1112998,801634,0,0,0,0,1,1,1,-2
1217108-870838,1.0,1217108,870838,0,0,0,0,0,0,0,0
6275425-6197571,2.0,6275425,6197571,0,0,0,0,1,1,1,-2
1342115-1443765,1.0,1342115,1443765,0,-1,1,-2,1,1,0,0
784979-6269679,1.0,784979,6269679,0,0,0,0,1,1,1,-2
244713-19626,0.0,244713,19626,0,-1,1,-2,1,1,0,0
52831-54544,3.0,52831,54544,1,-2,0,0,1,1,1,-2
1938630-46335,1.0,1938630,46335,0,-1,0,0,1,1,0,0
6327381-326494,0.0,6327381,326494,0,-1,0,0,1,2,1,-2
640405-4686312,0.0,640405,4686312,1,2,1,-2,1,1,1,-2
144466-6285829,2.0,144466,6285829,0,0,0,-1,1,1,1,-2
6273965-4175747,2.0,6273965,4175747,0,-1,1,-2,0,0,1,-2
6331903-6331755,0.0,6331903,6331755,0,-1,0,0,0,0,0,0
6280070-4511229,3.0,6280070,4511229,1,1,0,0,1,2,1,-2
42438-1083300,0.0,42438,1083300,1,1,0,0,1,1,0,0
1038798-34444,1.0,1038798,34444,0,-1,0,0,0,0,1,-2
1003718-1067329,2.0,1003718,1067329,1,1,0,0,1,1,1,-2
1270104-17856,1.0,1270104,17856,0,0,1,-2,1,1,0,0
1020425-18360,1.0,1020425,18360,1,-2,0,0,1,1,1,-2
6311932-6298404,1.0,6311932,6298404,0,-1,1,-2,0,0,1,-2
6282454-22882,1.0,6282454,22882,1,1,0,0,1,1,1,-2
1174815-75848,1.0,1174815,75848,1,2,0,0,1,2,1,-2
154636-6273989,2.0,154636,6273989,0,-1,0,-1,0,0,1,-2
1317103-6272194,3.0,1317103,6272194,1,4,0,0,1,2,1,-2
1003718-6328186,2.0,1003718,6328186,1,1,0,0,1,1,1,-2
6276397-2246454,1.0,6276397,2246454,0,-1,1,-2,1,1,1,-2
6276720-4537733,0.0,6276720,4537733,1,3,0,0,0,0,0,0
50508-22081,2.0,50508,22081,1,3,0,0,1,2,1,-2
6283282-268057,0.0,6283282,268057,0,-1,0,-1,1,1,0,0
27193-15211,3.0,27193,15211,1,1,0,0,1,1,0,0
1661785-171254,1.0,1661785,171254,0,-1,0,-1,1,1,0,0
6331371-6335476,1.0,6331371,6335476,0,-1,0,0,0,0,0,0
53534-36858,1.0,53534,36858,0,-1,0,0,1,1,1,-2
17854-6197181,0.0,17854,6197181,0,0,0,0,0,0,1,-2
4651481-3971,1.0,4651481,3971,1,-2,0,0,1,1,0,0
6270108-929522,0.0,6270108,929522,0,0,1,-2,1,1,0,0
6286026-703982,0.0,6286026,703982,1,-2,0,0,1,1,1,-2
6272131-1031934,0.0,6272131,1031934,0,-1,0,0,1,1,0,0
6290213-733442,0.0,6290213,733442,0,0,0,0,1,2,0,0
6329819-6307522,1.0,6329819,6307522,0,-1,0,0,1,1,1,-2
6294695-27246,1.0,6294695,27246,1,1,0,-1,0,0,0,0
6270887-1430882,3.0,6270887,1430882,0,-1,1,-2,1,1,1,-2
29398-6277123,3.0,29398,6277123,1,2,0,-1,1,1,1,-2
51672-30888,2.0,51672,30888,0,-1,0,0,0,0,0,0
6297963-6282655,3.0,6297963,6282655,0,-1,0,0,0,0,0,0
932391-6271067,1.0,932391,6271067,0,-1,0,0,1,1,1,-2
156533-1912141,2.0,156533,1912141,1,1,0,0,1,1,1,-2
3753450-88028,1.0,3753450,88028,0,-1,0,-1,1,1,0,0
5404388-50328,3.0,5404388,50328,0,-1,0,0,1,1,0,0
823337-288427,3.0,823337,288427,0,-1,0,-1,1,1,1,-2
6331305-6319895,3.0,6331305,6319895,1,3,0,0,1,1,1,-2
2490603-6197571,3.0,2490603,6197571,1,-2,0,-1,1,1,1,-2
3791-1020084,2.0,3791,1020084,0,0,0,0,0,0,0,0
6283300-6307910,3.0,6283300,6307910,1,1,0,0,0,0,0,0
880959-22084,1.0,880959,22084,0,-1,0,0,1,2,1,-2
6341663-6342257,0.0,6341663,6342257,0,-1,0,-1,1,1,1,-2
4405593-77681,1.0,4405593,77681,1,-2,0,0,1,1,0,0
20749-62152,1.0,20749,62152,1,1,0,0,1,1,1,-2
6328353-6305778,0.0,6328353,6305778,0,-1,0,0,0,0,0,0
27810-24304,2.0,27810,24304,1,1,0,0,1,1,1,-2
68877-50582,2.0,68877,50582,0,0,0,0,1,1,1,-2
6273871-1002254,0.0,6273871,1002254,0,-1,0,0,1,1,1,-2
136525-1106613,0.0,136525,1106613,0,0,0,0,1,1,1,-2
6271790-1299539,0.0,6271790,1299539,0,0,0,0,1,2,1,-2
43849-28846,2.0,43849,28846,1,2,0,0,1,1,1,-2
6289883-6313080,0.0,6289883,6313080,1,1,0,0,1,1,1,-2
2033829-105137,3.0,2033829,105137,0,0,0,0,0,0,0,0
295899-2656004,1.0,295899,2656004,0,0,0,-1,1,1,1,-2
931294-414374,2.0,931294,414374,1,3,0,0,1,1,1,-2
998470-201341,1.0,998470,201341,0,-1,0,0,1,1,1,-2
6326239-6306632,2.0,6326239,6306632,0,0,0,0,1,1,0,0
89165-102056,1.0,89165,102056,1,2,0,0,1,1,0,0
1186136-825431,3.0,1186136,825431,1,2,0,-1,0,0,1,-2
6338657-6338501,3.0,6338657,6338501,0,0,0,-1,1,1,0,0
6270173-6276327,0.0,6270173,6276327,0,0,0,0,1,1,0,0
6337927-6327974,2.0,6337927,6327974,0,0,1,-2,0,0,1,-2
3398061-1389941,3.0,3398061,1389941,1,1,0,0,1,1,1,-2
324809-6290353,1.0,324809,6290353,1,2,0,0,1,1,1,-2
25922-1297583,0.0,25922,1297583,0,0,0,0,1,1,1,-2
6272888-312522,0.0,6272888,312522,0,0,0,0,1,1,1,-2
21223-41,3.0,21223,41,0,0,0,0,1,1,0,0
2190300-1674957,2.0,2190300,1674957,0,-1,0,0,1,1,1,-2
5058542-6329445,3.0,5058542,6329445,0,0,0,0,0,0,0,0
3519607-6283153,3.0,3519607,6283153,0,-1,1,-2,1,1,0,0
6283243-6283866,3.0,6283243,6283866,0,0,0,-1,0,0,0,0
1682494-743143,3.0,1682494,743143,0,0,1,-2,1,1,0,0
18953-81850,1.0,18953,81850,0,0,0,0,1,1,0,0
6279606-6332127,3.0,6279606,6332127,0,-1,0,0,0,0,0,0
6276365-6274987,0.0,6276365,6274987,0,-1,1,-2,1,3,1,-2
48872-6327409,1.0,48872,6327409,1,4,0,0,1,1,0,0
144466-51484,2.0,144466,51484,0,-1,0,-1,1,1,1,-2
25234-1118128,3.0,25234,1118128,0,-1,1,-2,1,1,1,-2
7741-35151,0.0,7741,35151,0,-1,1,-2,1,2,1,-2
6283288-6277365,1.0,6283288,6277365,1,1,0,0,1,2,1,-2
6315664-224921,0.0,6315664,224921,0,-1,0,0,1,1,1,-2
229471-6300663,1.0,229471,6300663,0,-1,0,-1,1,1,0,0
6305078-6268978,3.0,6305078,6268978,1,4,0,0,1,1,1,-2
712291-6310516,2.0,712291,6310516,0,0,0,0,0,0,0,0
43849-112296,3.0,43849,112296,0,-1,0,0,1,1,1,-2
6306394-6302123,2.0,6306394,6302123,0,-1,0,0,1,1,0,0
6337208-6342427,2.0,6337208,6342427,0,-1,0,-1,1,1,0,0
4871-5511,2.0,4871,5511,0,0,0,-1,0,0,0,0
1059195-1234857,0.0,1059195,1234857,0,-1,0,0,1,1,1,-2
6321821-4883464,3.0,6321821,4883464,0,-1,0,0,1,1,1,-2
241411-3884615,1.0,241411,3884615,1,2,1,-2,1,1,1,-2
6269035-2459082,1.0,6269035,2459082,1,1,0,0,0,0,1,-2
52165-299733,2.0,52165,299733,0,-1,1,-2,1,1,0,0
26819-611,1.0,26819,611,0,-1,1,-2,0,0,0,0
3096466-1303687,0.0,3096466,1303687,0,-1,1,-2,1,1,1,-2
6287820-17398,1.0,6287820,17398,1,1,0,-1,1,1,1,-2
768791-2456526,1.0,768791,2456526,0,-1,1,-2,0,0,0,0
6301579-48997,0.0,6301579,48997,1,2,1,-2,0,0,0,0
18259-30194,0.0,18259,30194,0,-1,1,-2,1,1,1,-2
6274038-1003718,3.0,6274038,1003718,1,6,0,0,1,1,1,-2
23510-1344942,2.0,23510,1344942,1,2,1,-2,1,2,0,0
6291628-96235,0.0,6291628,96235,1,1,0,0,1,1,1,-2
6281588-6306345,1.0,6281588,6306345,0,0,0,0,0,0,1,-2
6306468-6313346,3.0,6306468,6313346,0,-1,0,-1,1,1,1,-2
6295416-50843,3.0,6295416,50843,0,-1,0,0,1,2,1,-2
2631-106789,2.0,2631,106789,0,-1,0,-1,1,1,0,0
329793-1748809,2.0,329793,1748809,1,2,1,-2,0,0,1,-2
1912141-37317,3.0,1912141,37317,0,-1,0,0,1,1,0,0
520045-3833460,1.0,520045,3833460,1,3,0,0,1,1,0,0
6282507-6279803,1.0,6282507,6279803,0,-1,0,0,1,1,0,0
28808-2344654,0.0,28808,2344654,1,3,0,0,1,1,1,-2
46380-20187,2.0,46380,20187,0,-1,0,0,1,1,1,-2
6330301-6330777,3.0,6330301,6330777,1,-2,0,0,1,1,0,0
39391-6302251,2.0,39391,6302251,0,-1,0,0,1,1,1,-2
6283756-5068382,1.0,6283756,5068382,0,-1,1,-2,0,0,1,-2
50508-48591,2.0,50508,48591,1,1,0,0,1,2,1,-2
4471-4738745,0.0,4471,4738745,0,-1,0,0,1,2,0,0
6283091-1241762,1.0,6283091,1241762,0,0,0,0,0,0,1,-2
6308290-6283489,3.0,6308290,6283489,1,1,0,0,1,1,0,0
6307292-139400,1.0,6307292,139400,1,2,0,0,0,0,1,-2
238734-20315,1.0,238734,20315,1,2,0,0,1,1,1,-2
678731-1263791,0.0,678731,1263791,0,-1,0,0,1,2,1,-2
5473751-2641549,2.0,5473751,2641549,0,-1,0,0,1,1,1,-2
6301999-6287644,3.0,6301999,6287644,0,0,0,0,0,0,1,-2
6312815-6293188,3.0,6312815,6293188,0,0,0,0,1,1,0,0
6284984-6276979,2.0,6284984,6276979,0,-1,0,-1,1,1,0,0
6270134-59733,1.0,6270134,59733,0,0,0,0,1,2,0,0
6302492-6311112,3.0,6302492,6311112,0,-1,0,-1,0,0,0,0
6281529-46441,0.0,6281529,46441,1,1,0,0,1,1,0,0
919055-233105,2.0,919055,233105,1,-2,0,0,1,1,1,-2
95998-2327211,2.0,95998,2327211,0,-1,0,0,1,1,1,-2
6269609-88233,2.0,6269609,88233,0,-1,0,-1,1,1,0,0
817499-233055,2.0,817499,233055,0,-1,0,0,1,1,1,-2
4868791-26469,1.0,4868791,26469,1,3,1,-2,1,1,0,0
32564-3021,3.0,32564,3021,0,-1,0,0,1,1,1,1
6269471-1106613,2.0,6269471,1106613,1,-2,0,0,1,1,1,-2
6299066-6273938,3.0,6299066,6273938,0,-1,1,-2,0,0,0,0
52831-22644,3.0,52831,22644,1,-2,1,-2,1,1,1,-2
4627975-3822010,3.0,4627975,3822010,0,0,0,-1,1,1,1,-2
1125803-103671,2.0,1125803,103671,0,-1,0,-1,1,1,1,-2
6272687-235195,0.0,6272687,235195,0,-1,0,0,1,1,1,-2
1912141-111155,2.0,1912141,111155,1,3,0,0,1,1,1,-2
6339043-6301505,0.0,6339043,6301505,0,0,1,-2,1,1,1,-2
6325441-6322075,2.0,6325441,6322075,0,-1,0,0,0,0,0,0
1912141-1476163,3.0,1912141,1476163,0,0,0,0,1,1,1,-2
834272-59733,1.0,834272,59733,0,0,0,0,1,1,0,0
6283243-6282650,3.0,6283243,6282650,1,1,0,-1,1,1,1,-2
6264736-225375,2.0,6264736,225375,0,-1,1,-2,1,2,0,0
6297652-3120432,3.0,6297652,3120432,1,1,0,0,0,0,0,0
6278339-1179589,0.0,6278339,1179589,0,-1,0,-1,1,1,1,-2
6303201-6285930,3.0,6303201,6285930,1,-2,1,1,1,1,1,-2
6326909-6313304,0.0,6326909,6313304,0,-1,0,0,1,1,1,-2
1034516-12171,1.0,1034516,12171,1,3,0,0,1,1,0,0
829489-6268886,2.0,829489,6268886,1,6,0,0,1,1,0,0
53669-207004,2.0,53669,207004,0,-1,0,0,1,2,1,-2
6286715-6287274,3.0,6286715,6287274,1,-2,0,0,1,1,1,-2
6322858-4951318,0.0,6322858,4951318,0,-1,0,0,1,1,1,-2
1671828-2635689,2.0,1671828,2635689,1,-2,1,-2,1,2,1,-2
6336801-6339567,1.0,6336801,6339567,0,-1,0,0,1,1,1,-2
22517-1217108,0.0,22517,1217108,0,0,0,0,1,1,1,-2
34715-67686,2.0,34715,67686,1,2,0,0,1,2,1,-2
154636-6270000,3.0,154636,6270000,0,-1,0,-1,0,0,1,-2
258837-71077,3.0,258837,71077,0,0,0,-1,1,1,1,-2
6305381-6305476,3.0,6305381,6305476,0,-1,0,-1,1,1,0,0
39742-46441,3.0,39742,46441,0,-1,0,0,1,2,1,-2
6271008-844611,0.0,6271008,844611,0,-1,0,0,1,1,0,0
8881-1020084,2.0,8881,1020084,0,0,0,0,1,1,0,0
6271602-2094382,3.0,6271602,2094382,1,5,1,-2,0,0,1,-2
4726355-833620,0.0,4726355,833620,1,1,0,0,1,3,0,0
2497841-2488558,2.0,2497841,2488558,0,0,0,0,0,0,1,-2
5831-48745,0.0,5831,48745,0,-1,0,0,1,2,0,0
4242157-5864697,1.0,4242157,5864697,0,-1,0,0,1,1,1,-2
29735-27747,0.0,29735,27747,0,0,0,0,1,1,0,0
6282960-6286919,1.0,6282960,6286919,0,0,0,0,1,1,1,-2
96235-2355749,0.0,96235,2355749,1,3,1,-2,1,2,1,-2
6281990-4471150,1.0,6281990,4471150,1,2,0,-1,1,1,1,-2
2317806-1422673,0.0,2317806,1422673,0,-1,0,0,0,0,0,0
81706-5920891,0.0,81706,5920891,0,0,0,0,0,0,0,0
6306759-780660,3.0,6306759,780660,0,-1,0,0,0,0,0,0
1210099-1044489,3.0,1210099,1044489,0,-1,0,0,1,1,1,-2
2381039-36487,1.0,2381039,36487,0,-1,1,-2,1,3,1,1
1226801-35062,3.0,1226801,35062,1,1,0,0,1,1,1,1
6285816-61329,1.0,6285816,61329,1,1,0,0,1,1,0,0
3707053-6269521,2.0,3707053,6269521,0,0,0,0,1,2,1,-2
36343-27771,2.0,36343,27771,0,0,0,0,1,1,0,0
3851-80340,1.0,3851,80340,0,-1,0,0,1,1,1,-2
6336259-6336045,2.0,6336259,6336045,0,-1,0,0,0,0,0,0
1073109-28093,1.0,1073109,28093,0,-1,1,-2,1,1,0,0
264602-2544668,2.0,264602,2544668,0,-1,0,-1,1,1,0,0
6275477-168352,3.0,6275477,168352,0,-1,0,0,1,1,0,0
6273607-1423956,0.0,6273607,1423956,0,0,0,-1,1,1,0,0
21574-1741,0.0,21574,1741,0,0,0,-1,1,1,1,-2
20477-36545,2.0,20477,36545,1,1,0,0,1,1,1,-2
6335519-6337775,3.0,6335519,6337775,0,0,0,0,0,0,0,0
241396-6272051,1.0,241396,6272051,0,-1,0,0,1,1,1,-2
33863-20080,2.0,33863,20080,0,0,0,0,1,1,1,-2
904572-1726929,1.0,904572,1726929,0,0,0,0,0,-1,0,-1
6272423-5007504,2.0,6272423,5007504,0,0,0,0,0,0,0,0
868223-54610,2.0,868223,54610,0,-1,0,0,1,1,0,0
833401-49763,1.0,833401,49763,1,1,0,-1,1,3,1,-2
6290965-6338317,1.0,6290965,6338317,0,-1,0,0,0,0,0,0
230371-28810,0.0,230371,28810,0,-1,0,0,1,1,1,-2
6269708-140565,1.0,6269708,140565,1,2,1,-2,1,1,1,-2
1445220-6273529,1.0,1445220,6273529,0,-1,0,0,0,0,1,-2
6294443-2198650,2.0,6294443,2198650,0,-1,1,-2,1,2,1,-2
1293195-1912141,2.0,1293195,1912141,1,2,0,0,1,1,1,-2
6279343-836786,0.0,6279343,836786,1,1,1,-2,1,1,1,-2
6274357-51078,3.0,6274357,51078,0,-1,0,0,0,0,0,0
207727-68001,1.0,207727,68001,1,2,0,0,1,1,0,0
1165933-4547868,2.0,1165933,4547868,0,-1,0,0,1,2,1,-2
1402852-1137969,2.0,1402852,1137969,0,-1,0,-1,1,1,1,-2
6342714-6343067,1.0,6342714,6343067,0,-1,0,0,0,-1,0,-1
2560372-3731845,0.0,2560372,3731845,0,-1,0,-1,0,0,0,0
120952-23754,0.0,120952,23754,0,-1,0,-1,1,1,0,0
712291-6299283,2.0,712291,6299283,1,1,0,0,1,1,0,0
25306-24648,3.0,25306,24648,0,-1,0,0,1,1,1,-2
1948227-6282953,3.0,1948227,6282953,1,6,0,0,1,2,1,-2
43849-2618143,0.0,43849,2618143,0,-1,0,0,1,1,1,-2
24801-29605,0.0,24801,29605,0,-1,0,0,1,1,0,0
1585173-48591,2.0,1585173,48591,0,-1,0,0,1,1,1,-2
904003-6278212,1.0,904003,6278212,1,3,0,0,1,1,1,-2
853396-1213864,0.0,853396,1213864,0,0,0,0,1,1,1,-2
6302755-6299976,1.0,6302755,6299976,0,-1,0,0,0,0,1,-2
63366-17832,3.0,63366,17832,0,-1,0,0,1,1,1,-2
261266-2366361,2.0,261266,2366361,0,-1,1,-2,1,2,1,-2
6331858-6307307,2.0,6331858,6307307,1,1,0,0,0,0,0,0
6279523-6329167,3.0,6279523,6329167,0,-1,0,0,1,2,1,-2
6331463-6334421,1.0,6331463,6334421,0,0,0,0,0,0,0,0
48656-28372,0.0,48656,28372,1,1,0,0,0,0,1,-2
205844-22625,3.0,205844,22625,1,1,0,0,1,1,1,-2
6316795-6310998,3.0,6316795,6310998,0,-1,0,0,0,0,0,0
150529-15501,0.0,150529,15501,0,0,0,-1,0,0,1,-2
6272460-6269531,2.0,6272460,6269531,0,0,0,0,0,0,0,0
6283094-1988753,0.0,6283094,1988753,1,-2,0,0,1,1,0,0
18187-6269191,2.0,18187,6269191,1,1,0,0,1,1,1,-2
6275463-2362123,2.0,6275463,2362123,0,-1,0,0,1,2,1,-2
18585-17722,3.0,18585,17722,0,-1,1,-2,1,1,1,-2
3728861-28290,1.0,3728861,28290,0,-1,0,-1,1,2,1,-2
6271602-6272444,2.0,6271602,6272444,1,-2,1,-2,1,1,1,-2
874015-1170963,0.0,874015,1170963,0,-1,0,-1,1,1,1,-2
4769697-24342,2.0,4769697,24342,0,-1,1,-2,0,0,0,0
6274357-703982,0.0,6274357,703982,0,-1,0,0,1,1,0,0
104026-5149824,3.0,104026,5149824,0,0,0,0,1,1,1,-2
6273634-6324158,2.0,6273634,6324158,0,0,0,0,1,1,1,-2
1038573-1326842,0.0,1038573,1326842,0,-1,0,0,1,1,0,0
6289019-28883,1.0,6289019,28883,0,0,0,0,1,1,1,-2
2791-3575942,2.0,2791,3575942,0,0,0,-1,1,1,1,-2
50987-1151669,2.0,50987,1151669,1,1,1,-2,1,2,1,-2
1056257-330100,2.0,1056257,330100,0,-1,0,0,1,1,0,0
6284220-4911,3.0,6284220,4911,0,0,0,0,1,1,1,-2
6313288-6299102,1.0,6313288,6299102,0,-1,0,0,0,0,1,-2
23946-180546,3.0,23946,180546,0,-1,0,0,0,0,0,0
18161-32664,2.0,18161,32664,0,-1,1,-2,1,1,1,-2
11811-106911,3.0,11811,106911,0,0,0,-1,1,1,1,-2
1674337-6274168,1.0,1674337,6274168,1,1,0,0,1,1,0,0
6284962-99580,3.0,6284962,99580,1,1,1,-2,1,1,0,0
6282375-19955,3.0,6282375,19955,0,0,1,-2,1,1,0,0
6290682-6286206,1.0,6290682,6286206,0,-1,0,-1,1,1,0,0
