user_id,purpose_id_1,purpose_id_2,purpose_id_3,purpose_id_4,purpose_id_5,purpose_id_6,purpose_id_7,purpose_id_8,purpose_id_9,purpose_id_10,purpose_id_11,purpose_id_12,purpose_id_13,purpose_id_14,purpose_id_15
1891,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0
1931,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
1961,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1991,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
2111,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2191,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2311,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1
2341,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
2381,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
2401,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2411,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2451,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
2481,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
2491,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
2521,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
2631,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1
2731,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
2752,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
2791,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
2801,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2811,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2851,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
2871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2951,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
3021,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3071,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
3251,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
3271,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
3281,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3291,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3321,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
3431,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3461,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
3481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3591,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1
3631,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
3661,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0
3671,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3701,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3721,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
3761,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
3781,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
3791,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
3851,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1
3891,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3971,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
3991,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1
4091,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1
4111,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4121,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1
4131,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
4151,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
4221,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
4341,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
4381,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
4391,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
4471,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
4521,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
4531,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
4551,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4671,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4681,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1
4831,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0
4871,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
4911,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
5091,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1
5101,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5131,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5181,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1
5371,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
5401,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5481,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5511,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
5551,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5601,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
5671,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
5691,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
5831,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
5981,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
6011,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
6031,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
6061,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
6091,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
6131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6141,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1
6271,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
6281,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
6301,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0
6401,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
6421,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6491,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
6521,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6551,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
6611,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
6631,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
6651,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6671,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1
6681,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
6751,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6781,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7031,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
7061,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
7191,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
7201,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7211,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1
7381,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
7451,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0
7461,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7501,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0
7571,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7691,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
7741,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
7821,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
7841,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
8011,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
8141,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0
8181,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0
8201,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
8241,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8301,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
8361,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0
8381,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
8521,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0
8651,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
8681,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
8721,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
8821,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1
8841,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
8861,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0
8871,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
8881,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
8891,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
9031,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9041,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
9111,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
9121,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
9141,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
9171,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
9231,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1
9361,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9381,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
9451,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9641,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
9671,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
9741,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9771,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1
9801,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
9931,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
10071,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
10121,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1
10161,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1
10261,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10331,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
10391,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
10481,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
10621,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
10671,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
10691,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10701,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
10831,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1
10861,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
10871,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
10951,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1
10961,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
10981,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
10991,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0
11031,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1
11041,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0
11081,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0
11111,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
11181,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11261,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
11271,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
11381,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0
11411,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1
11431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11461,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
11511,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11601,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
11631,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
11671,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
11691,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
11721,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
11771,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
11811,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11831,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
11841,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
11881,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
11921,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11941,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
11991,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
12011,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
12101,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1
12131,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
12171,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
12231,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
12451,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12481,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
12511,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0
12601,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
12721,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0
12921,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12971,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1
13031,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1
13291,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
13471,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
13581,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13741,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
13761,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
13851,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
13911,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
13961,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
13971,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14031,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
14181,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
14201,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1
14211,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
14321,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1
14381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14501,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
14761,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
14811,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14851,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1
14991,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
15211,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
15251,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0
15261,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
15311,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
15321,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
15331,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15411,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
15431,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
15441,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
15501,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
15551,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1
15631,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
15641,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
15661,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
15671,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
15711,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
15741,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
15811,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15861,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1
15931,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0
16031,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1
16101,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
16171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16191,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
16271,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1
16281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16331,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
16341,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
16351,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1
16521,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1
16551,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0
16631,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
16691,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
16791,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1
16811,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16871,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
16981,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
17021,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
17081,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0
17128,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
17136,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
17143,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1
17151,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1
17166,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1
17168,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0
17169,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1
17174,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
17181,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1
17182,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
17184,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17188,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1
17193,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
17198,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
17205,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
17207,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
17213,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1
17229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17243,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
17248,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
17252,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
17256,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0
17268,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
17278,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
17280,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
17285,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17289,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
17297,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1
17318,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17330,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1
17332,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
17343,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0
17345,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1
17355,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
17367,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
17385,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17390,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
17397,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17398,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0
17399,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
17404,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
17409,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
17410,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
17413,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
17421,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17434,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
17436,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
17439,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
17449,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17450,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
17456,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
17458,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1
17459,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0
17461,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
17466,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1
17468,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17469,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
17470,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
17482,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0
17496,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1
17501,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17524,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17527,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0
17528,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1
17529,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
17542,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
17546,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
17548,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
17551,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
17554,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
17560,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
17569,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
17572,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
17590,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
17591,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
17597,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
17598,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
17603,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
17605,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
17613,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
17621,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0
17652,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
17655,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
17656,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1
17665,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
17667,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
17677,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
17680,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1
17685,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17695,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
17704,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
17705,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
17707,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1
17722,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
17723,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17731,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
17738,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0
17740,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
17764,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17765,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
17775,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
17783,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
17788,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
17791,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
